categoria_busqueda,tienda,producto,precio_tarjeta,precio_credito
mouse,Computron,MOUSE PAD LOGITECH MAT STUDIO 20x23 cm- ROSADO,"$14,00",Crédito Directo 6 cuotas de: $3.55
mouse,Computron,MOUSE PAD LOGITECH MAT STUDIO 20x23 cm - AZUL,"$13,99",Crédito Directo 3 cuotas de: $6.97
mouse,Computron,MOUSE PAD LOGITECH MAT STUDIO 30x70 cm - ROSADO,"$25,99",Crédito Directo 3 cuotas de: $12.69
mouse,Computron,MOUSE PAD LOGITECH MAT STUDIO 30x70 cm - LAVANDA,"$23,99",Crédito Directo 3 cuotas de: $11.69
mouse,Computron,MOUSE KLIP XTREME ALAMBRICO VERTICAL ERGONOMICO KROWN USB - NEGRO,"$15,99",Crédito Directo 3 cuotas de: $7.96
mouse,Computron,GRABADOR NVR TPLINK 8 CANALES MOUSE-2 USB- HDMI-VGA-SIN DISCO-1 PUERTO RJ45,"$93,99",Crédito Directo 3 cuotas de: $45.78
mouse,Computron,MOUSE LOGITECH INALAMBRICO M190 USB GRIS-AZUL,"$22,99",Crédito Directo 6 cuotas de: $5.71
mouse,Computron,MOUSE LOGITECH INALAMBRICO M190 USB GRIS,"$22,99",Crédito Directo 6 cuotas de: $5.71
mouse,Computron,TECLADO + MOUSE XTECH ALAMBRICO USB - NEGRO,"$15,99",Crédito Directo 3 cuotas de: $7.96
mouse,Computron,MOUSE LOGITECH ALAMBRICO GAMER G203 LIGHTSYNC RGB USB NEGRO,"$35,99",Crédito Directo 6 cuotas de: $9.00
mouse,Computron,MOUSE LOGITECH ALAMBRICO GAMER G203 LIGHTSYNC RGB USB BLANCO,"$33,99",Crédito Directo 6 cuotas de: $8.50
mouse,Computron,MOUSE COOLER MASTER ALAMBRICO GAMER USB MM710 NEGRO MATE,"$53,99",Crédito Directo 3 cuotas de: $26.37
mouse,Computron,MOUSE COOLER MASTER ALAMBRICO GAMER USB MM711 NEGRO,"$71,99",Crédito Directo 6 cuotas de: $17.88
mouse,Computron,MOUSE TARGUS ALAMBRICO RETRACTIL USB NEGRO,"$13,99",Crédito Directo 6 cuotas de: $3.55
mouse,Computron,MOUSE XTECH INALAMBRICO 2.4 GHz 4 BOTONES 1600dpi NEGRO,"$6,99",Crédito Directo 6 cuotas de: $1.78
mouse,Computron,MOUSE XTECH INALAMBRICO 2.4 GHz 4 BOTONES 1600dpi AZUL,"$8,99",Crédito Directo 3 cuotas de: $4.48
mouse,Computron,MOUSE XTECH ALAMBRICO GAMER 3D USB LED - NEGRO,"$16,99",Crédito Directo 3 cuotas de: $8.46
mouse,Computron,MOUSE XTECH ALAMBRICO GAMER USB BLUE VENOM - NEGRO,"$16,99",Crédito Directo 6 cuotas de: $4.31
teclado,Computron,TECLADO/PALMREST REPUESTO PARA LAPTOP XTRATECH LAP4ED,"$51,99",Crédito Directo 6 cuotas de: $12.93
teclado,Computron,TECLADO LENOVO IDEAPAD 330-14IKB GRAY WIN8 (WITHOUT FRAME),"$99,99",Crédito Directo 6 cuotas de: $24.73
